72088,A. Çagri Tolga|Cengiz Kahraman,,Production Engineering and Management under Fuzziness,,,,,series/sfsc/Kahraman10,https://doi.org/10.1007/978-3-642-12052-7_12,,,series/sfsc/KahramanT10a,2017-05-16,,,279-298,,,,,,Fuzzy Investment Planning and Analyses in Production Systems.,db/series/sfsc/Kahraman10.html#KahramanT10a,2010,,,,
72089,Alexander V. Bozhenyuk|Evgeniya Gerasimenko,,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_12,,,series/sfsc/BozhenyukG14,2017-05-16,,,269-291,,,,,,Flows Finding in Networks in Fuzzy Conditions.,db/series/sfsc/sfsc313.html#BozhenyukG14,2014,,,,
72090,Manojit Chattopadhyay,,Complex System Modelling and Control Through Intelligent Soft Computations,,,,,series/sfsc/2015-319,https://doi.org/10.1007/978-3-319-12883-2_11,,,series/sfsc/Chattopadhyay15,2017-05-16,,,311-336,,,,,,Modelling of Intrusion Detection System Using Artificial Intelligence - Evaluation of Performance Measures.,db/series/sfsc/sfsc319.html#Chattopadhyay15,2015,,,,
72091,Rudolf Seising|Veronica Sanz,0000-0001-8864-2507,Soft Computing in Humanities and Social Sciences,,,,,series/sfsc/SeisingG12,https://doi.org/10.1007/978-3-642-24672-2_1,,,series/sfsc/SeisingS12,2017-06-14,,,3-36,,,,,,From Hard Science and Computing to Soft Science and Computing - An Introductory Survey.,db/series/sfsc/SeisingG12.html#SeisingS12,2012,,,,
72092,Cengiz Kahraman|Kemal Güven Gülen|Semra Birgün,,Production Engineering and Management under Fuzziness,,,,,series/sfsc/Kahraman10,https://doi.org/10.1007/978-3-642-12052-7_17,,,series/sfsc/BirgunKG10,2017-05-16,,,417-430,,,,,,Fuzzy Productivity Measurement in Production Systems.,db/series/sfsc/Kahraman10.html#BirgunKG10,2010,,,,
72093,Alp Üstündag,,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_23,,,series/sfsc/Ustundag14,2017-05-16,,,553-564,,,,,,Selection and Assignment of Material Handling Devices Under Uncertainty.,db/series/sfsc/sfsc313.html#Ustundag14,2014,,,,
72094,John Yen,,Classic Works of the Dempster-Shafer Theory of Belief Functions,,,,,series/sfsc/2008-219,https://doi.org/10.1007/978-3-540-44792-4_21,,,series/sfsc/Yen08,2017-05-16,,,529-554,,,,,,Generalizing the Dempster-Shafer Theory to Fuzzy Sets.,db/series/sfsc/sfsc219.html#Yen08,2008,,,,
72095,Javier Bajo|Juan M. Corchado|Yanira de Paz,0000-0002-2829-1829|0000-0002-4392-4743,Soft Computing Applications in Industry,,,,,series/sfsc/2008-226,https://doi.org/10.1007/978-3-540-77465-5_16,,,series/sfsc/CorchadoBP08,2017-06-09,,,311-330,,,,,,A CBR System: The Core of an Ambient Intelligence Health Care Application.,db/series/sfsc/sfsc226.html#CorchadoBP08,2008,,,,
72096,Eduardo Gómez-Ramírez,0000-0001-8491-4114,Hybrid Intelligent Systems,,,,,series/sfsc/2007-208,https://doi.org/10.1007/978-3-540-37421-3_7,,,series/sfsc/Gomez-Ramirez07,2017-09-16,,,115-133,,,,,,Simple Tuning of Fuzzy Controllers.,db/series/sfsc/sfsc208.html#Gomez-Ramirez07,2007,,,,
72097,Tilmann Bruckhaus,,Marketing Intelligent Systems Using Soft Computing,,,,,series/sfsc/Casillas10,https://doi.org/10.1007/978-3-642-15606-9_12,,,series/sfsc/Bruckhaus10,2017-05-16,,,131-154,,,,,,Collective Intelligence in Marketing.,db/series/sfsc/Casillas10.html#Bruckhaus10,2010,,,,
72098,Glenn Shafer,,Classic Works of the Dempster-Shafer Theory of Belief Functions,,,,,series/sfsc/2008-219,https://doi.org/10.1007/978-3-540-44792-4_10,,,series/sfsc/Shafer08c,2017-05-16,,,265-290,,,,,,Belief Functions and Parametric Models.,db/series/sfsc/sfsc219.html#Shafer08c,2008,,,,
