6782428,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_101160,,,reference/snam/X18xkc,2019-02-17,,,,,,encyclopedia,,,Social Network Analysis Packages.,db/reference/snam/snam2018.html#X18xkc,2018,,,,,,
6782429,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_101360,,,reference/snam/X18xqf,2019-02-17,,,,,,encyclopedia,,,Top Management Teams.,db/reference/snam/snam2018.html#X18xqf,2018,,,,,,
6782430,Germà Coenders|Lluís Coromina|Tina Kogovsek|Valentina Hlebec,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_399,,,reference/snam/KogovsekHCC18,2019-02-17,,,,,,encyclopedia,,,Questionnaires for Measuring Social Network Contacts.,db/reference/snam/snam2018.html#KogovsekHCC18,2018,,,,,,
6782431,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100505,,,reference/snam/X18pl,2019-02-17,,,,,,encyclopedia,,,Information Filtering.,db/reference/snam/snam2018.html#X18pl,2018,,,,,,
6782432,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100649,,,reference/snam/X14gl,2017-07-12,,,415,,,encyclopedia,,,Dynamic Graphs.,db/reference/snam/snam2014.html#X14gl,2014,,,,,,
6782433,Germà Coenders|Lluís Coromina|Tina Kogovsek|Valentina Hlebec,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_397,,,reference/snam/CorominaHKC18,2019-02-17,,,,,,encyclopedia,,,Network Data Collected via Web.,db/reference/snam/snam2018.html#CorominaHKC18,2018,,,,,,
6782434,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100283,,,reference/snam/X14em,2017-07-12,,,304,,,encyclopedia,,,Crime.,db/reference/snam/snam2014.html#X14em,2014,,,,,,
6782435,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100586,,,reference/snam/X18rv,2019-02-17,,,,,,encyclopedia,,,Layered Social Networks.,db/reference/snam/snam2018.html#X18rv,2018,,,,,,
6782436,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100325,,,reference/snam/X14xab,2017-07-12,,,2202,,,encyclopedia,,,Trade-Offs.,db/reference/snam/snam2014.html#X14xab,2014,,,,,,
6782437,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100776,,,reference/snam/X14xt,2017-07-12,,,2063,,,encyclopedia,,,Stochastic Models.,db/reference/snam/snam2014.html#X14xt,2014,,,,,,
6782438,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_101426,,,reference/snam/X18xsm,2019-02-17,,,,,,encyclopedia,,,Virtual Settlement.,db/reference/snam/snam2018.html#X18xsm,2018,,,,,,
6782439,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100831,,,reference/snam/X18zt,2019-02-17,,,,,,encyclopedia,,,*ORA.,db/reference/snam/snam2018.html#X18zt,2018,,,,,,
6782440,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100136,,,reference/snam/X14km,2017-07-12,,,1023,,,encyclopedia,,,Multi-relational Network.,db/reference/snam/snam2014.html#X14km,2014,,,,,,
6782441,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100261,,,reference/snam/X18hg,2019-02-17,,,,,,encyclopedia,,,Deep Learning Aspect Extraction.,db/reference/snam/snam2018.html#X18hg,2018,,,,,,
6782442,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100259,,,reference/snam/X14xw,2017-07-12,,,2063,,,encyclopedia,,,Strategic Allocation of Resources.,db/reference/snam/snam2014.html#X14xw,2014,,,,,,
6782443,Magdalena Bielenia-Grajewska,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_337,,,reference/snam/Bielenia-Grajewska18,2019-02-17,,,,,,encyclopedia,,,Online Identities and Social Networks in Organizational Settings.,db/reference/snam/snam2018.html#Bielenia-Grajewska18,2018,,,,,,
6782444,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100881,,,reference/snam/X18xbo,2019-02-17,,,,,,encyclopedia,,,Policing.,db/reference/snam/snam2018.html#X18xbo,2018,,,,,,
6782445,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100641,,,reference/snam/X14li,2017-07-12,,,1101,,,encyclopedia,,,Network Measure.,db/reference/snam/snam2014.html#X14li,2014,,,,,,
6782446,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100033,,,reference/snam/X14iw,2017-07-12,,,893,,,encyclopedia,,,Medicine.,db/reference/snam/snam2014.html#X14iw,2014,,,,,,
6782447,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100200,,,reference/snam/X18fk,2019-02-17,,,,,,encyclopedia,,,Content Communities.,db/reference/snam/snam2018.html#X18fk,2018,,,,,,
6782448,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100123,,,reference/snam/X18di,2019-02-17,,,,,,encyclopedia,,,Collaborative Editing.,db/reference/snam/snam2018.html#X18di,2018,,,,,,
6782449,Jo Hanisch|Mohd H. Husin,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_199,,,reference/snam/HusinH14,2017-07-12,,,1819-1824,,,encyclopedia,,,Social Media Policy in the Workplace: User Awareness.,db/reference/snam/snam2014.html#HusinH14,2014,,,,,,
6782450,Jie Tang,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_177,,,reference/snam/Tang18,2019-02-17,,,,,,encyclopedia,,,Inferring Social Ties.,db/reference/snam/snam2018.html#Tang18,2018,,,,,,
6782451,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100523,,,reference/snam/X14wz,2017-07-12,,,1990,,,encyclopedia,,,Spatial-Textual Web Search.,db/reference/snam/snam2014.html#X14wz,2014,,,,,,
6782452,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100551,,,reference/snam/X14ot,2017-07-12,,,1290,,,encyclopedia,,,Policy (Domain) Networks.,db/reference/snam/snam2014.html#X14ot,2014,,,,,,
6782453,Fahimah Al-Awadhi,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_164,,,reference/snam/Al-Awadhi14,2017-07-12,,,1743-1749,,,encyclopedia,,,Simulated Datasets.,db/reference/snam/snam2014.html#Al-Awadhi14,2014,,,,,,
6782454,Bruce E. Trumbo|Eric A. Suess,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_110189,,,reference/snam/TrumboS18a,2019-02-17,,,,,,encyclopedia,,,Simulations.,db/reference/snam/snam2018.html#TrumboS18a,2018,,,,,,
6782455,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100250,,,reference/snam/X14fw,2017-07-12,,,370,,,encyclopedia,,,Digital Social Network.,db/reference/snam/snam2014.html#X14fw,2014,,,,,,
6782456,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100967,,,reference/snam/X14uu,2017-07-12,,,1783,,,encyclopedia,,,Social Factor.,db/reference/snam/snam2014.html#X14uu,2014,,,,,,
6782457,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100991,,,reference/snam/X18xfk,2019-02-17,,,,,,encyclopedia,,,Research Design.,db/reference/snam/snam2018.html#X18xfk,2018,,,,,,
6782458,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100103,,,reference/snam/X18ct,2019-02-17,,,,,,encyclopedia,,,Cloud Services.,db/reference/snam/snam2018.html#X18ct,2018,,,,,,
6782459,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100049,,,reference/snam/X18at,2019-02-17,,,,,,encyclopedia,,,Avatar.,db/reference/snam/snam2018.html#X18at,2018,,,,,,
6782460,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100159,,,reference/snam/X14xm,2017-07-12,,,2056,,,encyclopedia,,,Statistical Models.,db/reference/snam/snam2014.html#X14xm,2014,,,,,,
6782461,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_110061,,,reference/snam/X14om,2017-07-12,,,1272,,,encyclopedia,,,People-Content-Network Analysis.,db/reference/snam/snam2014.html#X14om,2014,,,,,,
6782462,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100002,,,reference/snam/X18a,2019-02-17,,,,,,encyclopedia,,,Accuracy.,db/reference/snam/snam2018.html#X18a,2018,,,,,,
6782463,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_101467,,,reference/snam/X18xtr,2019-02-17,,,,,,encyclopedia,,,Web Services Definition Language.,db/reference/snam/snam2018.html#X18xtr,2018,,,,,,
6782464,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100789,,,reference/snam/X14ls,2017-07-12,,,1122,,,encyclopedia,,,Networks Dynamics Analysis.,db/reference/snam/snam2014.html#X14ls,2014,,,,,,
6782465,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100184,,,reference/snam/X18ev,2019-02-17,,,,,,encyclopedia,,,Components.,db/reference/snam/snam2018.html#X18ev,2018,,,,,,
6782466,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100050,,,reference/snam/X18au,2019-02-17,,,,,,encyclopedia,,,Awareness.,db/reference/snam/snam2018.html#X18au,2018,,,,,,
6782467,Josemar Faustino da Cruz|Pramod Divakarmurthy|Ronaldo Menezes,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_78,,,reference/snam/CruzMD18,2019-02-17,,,,,,encyclopedia,,,Networks in Rural Sociology.,db/reference/snam/snam2018.html#CruzMD18,2018,,,,,,
6782468,Ken'ichi Ikeda|Yanjie Bian,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_60,,,reference/snam/BianI18,2019-02-17,,,,,,encyclopedia,,,East Asian Social Networks.,db/reference/snam/snam2018.html#BianI18,2018,,,,,,
6782469,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100093,,,reference/snam/X14og,2017-07-12,,,1269,,,encyclopedia,,,Pattern Mining.,db/reference/snam/snam2014.html#X14og,2014,,,,,,
6782470,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100878,,,reference/snam/X18xbl,2019-02-17,,,,,,encyclopedia,,,POI Recommendation.,db/reference/snam/snam2018.html#X18xbl,2018,,,,,,
6782471,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100378,,,reference/snam/X18lf,2019-02-17,,,,,,encyclopedia,,,Family Groups in Crowd.,db/reference/snam/snam2018.html#X18lf,2018,,,,,,
6782472,,,Encyclopedia of Social Network Analysis and Mining,,,,,,https://doi.org/10.1007/978-1-4614-6170-8_100700,,,reference/snam/X14bk,2017-07-12,,,87,,,encyclopedia,,,Centrality Urban Design.,db/reference/snam/snam2014.html#X14bk,2014,,,,,,
6782473,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_100048,,,reference/snam/X18as,2019-02-17,,,,,,encyclopedia,,,Automatic Document Topic Identification.,db/reference/snam/snam2018.html#X18as,2018,,,,,,
6782474,,,Encyclopedia of Social Network Analysis and Mining. 2nd Ed.,,,,,reference/snam/2018,https://doi.org/10.1007/978-1-4939-7131-2_101248,,,reference/snam/X18xmm,2019-02-17,,,,,,encyclopedia,,,Spatio-temporal Querying of Big Data and Results Summarization.,db/reference/snam/snam2018.html#X18xmm,2018,,,,,,
