71012,Ken Cheng,0000-0002-4913-2691,Robotics and Cognitive Approaches to Spatial Mapping,,,,,series/star/2008-38,https://doi.org/10.1007/978-3-540-75388-9_9,,,series/star/Cheng08,2018-11-02,,,145-161,,,,,,Geometry and Navigation.,db/series/star/star38.html#Cheng08,2008,,,,
71013,Marc Ueberle|Martin Buss|Nico Mock,,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_3,,,series/star/UeberleMB07,2017-05-16,,,25-44,,,,,,Design, Control, and Evaluation of a Hyper-redundant Haptic Device.,,,,
71014,Friedrich M. Wahl|Ulrike Thomas,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_1,,,series/star/ThomasW11,2017-05-16,,,3-15,,,,,,A Unified Notation for Serial, Parallel and Hybrid Kinematic Structures.,db/series/star/star67.html#ThomasW11,,,,
71016,Fumio Kanehiro|Genya Ishigami|Naoki Wakisaka|Satoshi Tadokoro|Shingo Ozaki|Shinichiro Nakaoka|Tomomichi Sugihara,,Disaster Robotics,,,,,series/star/128,https://doi.org/10.1007/978-3-030-05321-5_9,,,series/star/KanehiroNSWIOT19,2019-01-25,,,453-477,,,,,,Simulator for Disaster Response Robotics.,db/series/star/star128.html#KanehiroNSWIOT19,2019,,,,
71017,Bernd Finkemeyer|Günter Schreiber|Johannes Kurth|Marinus Danzer|Rainer Bischoff 0002|Yevgen Kogan,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_22,,,series/star/0002SFKDK12,2017-05-16,,,331-352,,,,,,Flexible Control of Complex Kinematic Chains.,db/series/star/star76.html#0002SFKDK12,2012,,,,
71018,Guido Beckmann|Harald Michalik|J. Uwe Varchmin|Jens Steiner|Nnamdi Kohn|Tobias Möglich|Yannick Dadji,,Robotic Systems for Handling and Assembly,,,,,series/star/2011-67,https://doi.org/10.1007/978-3-642-16785-0_13,,,series/star/DadjiMKSBMV11,2017-05-16,,,213-231,,,,,,A Communication Architecture for Distributed Real-Time Robot Control.,db/series/star/star67.html#DadjiMKSBMV11,2011,,,,
71019,Carlos Balaguer|Claudio Melchiorri|Manuel Ferre|Martin Buss|Rafael Aracil,0000-0003-0030-1551,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_1,,,series/star/FerreBAMB07,2017-06-09,,,1-7,,,,,,Introduction to Advances in Telerobotics.,db/series/star/star31.html#FerreBAMB07,2007,,,,
71020,Blake Hannaford|Hawkeye H. I. King|Pietro Buttolo,0000-0001-7370-4920,The Human Hand as an Inspiration for Robot Hand Development,,,,,series/star/2014-95,https://doi.org/10.1007/978-3-319-03017-3_17,,,series/star/HannafordBK14,2017-06-14,,,363-388,,,,,,Multi-finger Haptic Displays for Characterization of Hand Response.,db/series/star/star95.html#HannafordBK14,2014,,,,
71021,Angelika Peer|Bartlomiej Stanczyk|Kwang-Kyu Lee|Martin Buss|Norbert Nitzsche|Ulrich Unterhinninghofen,,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_29,,,series/star/BussLNPSU07,2017-05-16,,,471-497,,,,,,Advanced Telerobotics: Dual-Handed and Mobile Remote Manipulation.,db/series/star/star31.html#BussLNPSU07,2007,,,,
71024,Dylan F. Glas|Koji Kamei|Norihiro Hagita|Takahiro Miyashita|Takayuki Kanda 0001,0000-0002-2071-1219|0000-0002-9546-5825,Intelligent Assistive Robots,,,,,series/star/2015-106,https://doi.org/10.1007/978-3-319-12922-8_9,,,series/star/GlasKKMH15,2018-11-02,,,235-273,,,,,,Human-Robot Interaction in Public and Smart Spaces.,db/series/star/star106.html#GlasKKMH15,2015,,,,
71025,Benjamin Kuipers,,Robotics and Cognitive Approaches to Spatial Mapping,,,,,series/star/2008-38,https://doi.org/10.1007/978-3-540-75388-9_15,,,series/star/Kuipers08a,2017-05-16,,,243-264,,,,,,An Intellectual History of the Spatial Semantic Hierarchy.,db/series/star/star38.html#Kuipers08a,2008,,,,
71026,Jens U. Kühnle|Rüdiger Dillmann|Steffen W. Rühl|Zhixing Xue,,Towards Service Robots for Everyday Environments,,,,,series/star/2012-76,https://doi.org/10.1007/978-3-642-25116-0_24,,,series/star/XueKRD12,2017-10-24,,,367-377,,,,,,Motion Planning Using a ToF Camera for Manipulation in Cluttered Environments.,db/series/star/star76.html#XueKRD12,2012,,,,
71027,Emili Hernández|Marc Carreras|Narcís Palomeras|Pere Ridao,0000-0002-1724-3012|0000-0003-3117-9691,Advances in Telerobotics,,,,,series/star/2007-31,https://doi.org/10.1007/978-3-540-71364-7_21,,,series/star/RidaoCHP07,2017-06-09,,,347-359,,,,,,Underwater Telerobotics for Collaborative Research.,db/series/star/star31.html#RidaoCHP07,2007,,,,
