73206,Anna Derezinska|Ilona Bluemke,,Software Engineering: Evolution and Emerging Technologies,,,,,series/faia/2005-130,http://www.booksonline.iospress.nl/Content/View.aspx?piid=1155,,,series/faia/BluemkeD05,2012-03-13,,,160-171,,,,,,Internet Laboratory Instructions for Advanced Software Engineering Course.,db/series/faia/faia130.html#BluemkeD05,2005,,,
73207,Nick Cercone,,Computational Approaches to Assistive Technologies for People with Disabilities,,,,,series/faia/2013-253,https://doi.org/10.3233/978-1-61499-258-5-235,,,series/faia/Cercone13b,2017-05-16,,,235-238,,,,,,Assistive Technology: Concluding Remarks and the Future.,db/series/faia/faia253.html#Cercone13b,2013,,,
73209,Erik D. Goodman|Jiachuan Wang|Lars Hein|Mogens Andreasen|Zhun Fan,,Integrated Intelligent Systems for Engineering Design,,,,,series/faia/2006-149,http://www.booksonline.iospress.nl/Content/View.aspx?piid=2170,,,series/faia/FanAWGH06,2012-03-13,,,182-198,,,,,,Towards an Evolvable Engineering Design Framework for Interactive Computer Design Support of Mechatronic Systems.,db/series/faia/faia149.html#FanAWGH06,2006,,,
73211,Edward A. Hirsch|Evgeny Dantsin,,Handbook of Satisfiability,,,,,series/faia/2009-185,https://doi.org/10.3233/978-1-58603-929-5-403,,,series/faia/DantsinH09,2017-05-16,,,403-424,,,,,,Worst-Case Upper Bounds.,db/series/faia/faia185.html#DantsinH09,2009,,,
73212,Aleksander Lupa|Dariusz Król 0001,,New Trends in Multimedia and Network Information Systems,,,,,series/faia/2008-181,https://doi.org/10.3233/978-1-58603-904-2-259,,,series/faia/KrolL08,2017-05-16,,,259-275,,,,,,Code and Data Propagation on a PC's Multi-Agent System.,db/series/faia/faia181.html#KrolL08,2008,,,
73213,Generoso Bevilacqua|Paolo Aretini,,Computational Intelligence and Bioengineering,,,,,series/faia/2009-196,https://doi.org/10.3233/978-1-60750-010-0-129,,,series/faia/AretiniB09,2017-05-16,,,129-140,,,,,,A contribution of informatics to clinical oncology: innovative approaches to FISH image evaluation.,db/series/faia/faia196.html#AretiniB09,2009,,,
73214,Anne E. James|Charalampos Karyotis|Faiyaz Doctor|Rahat Iqbal,,State of the Art in AI Applied to Ambient Intelligence,,,,,series/faia/2017-298,https://doi.org/10.3233/978-1-61499-804-4-48,,,series/faia/KaryotisDIJ17,2018-03-16,,,48-67,,,,,,Affect Aware Ambient Intelligence: Current and Future Directions.,db/series/faia/faia298.html#KaryotisDIJ17,2017,,,
73215,Bartosz Walter|Blazej Pietrzak,,Software Engineering: Evolution and Emerging Technologies,,,,,series/faia/2005-130,http://www.booksonline.iospress.nl/Content/View.aspx?piid=1174,,,series/faia/PietrzakW05,2012-03-13,,,353-364,,,,,,Exploring Bad Code Smells Dependencies.,db/series/faia/faia130.html#PietrzakW05,2005,,,
73216,Nick Cercone,,Computational Approaches to Assistive Technologies for People with Disabilities,,,,,series/faia/2013-253,https://doi.org/10.3233/978-1-61499-258-5-3,,,series/faia/Cercone13,2017-05-16,,,3-9,,,,,,Introduction.,db/series/faia/faia253.html#Cercone13,2013,,,
73217,,,State of the Art in AI Applied to Ambient Intelligence,,,,,series/faia/2017-298,https://doi.org/10.3233/978-1-61499-804-4-172,,,series/faia/X17,2018-03-16,,,172,,,,,,Conclusions.,db/series/faia/faia298.html#X17,2017,,,
73218,Bernd Reusch|Stefan Berlik,,Integrated Intelligent Systems for Engineering Design,,,,,series/faia/2006-149,http://www.booksonline.iospress.nl/Content/View.aspx?piid=2160,,,series/faia/BerlikR06,2012-03-13,,,3-22,,,,,,Foundations of Directed Mutation.,db/series/faia/faia149.html#BerlikR06,2006,,,
73219,Kostas Karpouzis,,Emerging Artificial Intelligence Applications in Computer Engineering,,,,,series/faia/2007-160,http://www.booksonline.iospress.nl/Content/View.aspx?piid=6958,,,series/faia/Karpouzis07,2012-03-14,,,141-142,,,,,,Part II: Intelligent Human-Computer Interaction.,db/series/faia/faia160.html#Karpouzis07,2007,,,
73220,David Shan-Hill Wong|Junghui Chen|Shi-Shang Jang,,Integrated Intelligent Systems for Engineering Design,,,,,series/faia/2006-149,http://www.booksonline.iospress.nl/Content/View.aspx?piid=2174,,,series/faia/JangWC06,2012-03-13,,,258-273,,,,,,Intelligent Experimental Design Using an Artificial Neural Network Meta Model and Information Theory.,db/series/faia/faia149.html#JangWC06,2006,,,
73222,Carlos Soares|Rayid Ghani,,Data Mining for Business Applications,,,,,series/faia/2010-218,https://doi.org/10.3233/978-1-60750-633-1-1,,,series/faia/SoaresG10,2019-02-21,,,1-14,,,,,,Data Mining for Business Applications: Introduction.,db/series/faia/faia218.html#SoaresG10,2010,,,
73223,Aleksy Schubert|Andrzej Gasienica-Samek|Jacek Chrzaszcz|Tomasz Stachowicz,,Software Engineering: Evolution and Emerging Technologies,,,,,series/faia/2005-130,http://www.booksonline.iospress.nl/Content/View.aspx?piid=1182,,,series/faia/Gasienica-SamekSCS05,2012-03-13,,,412-417,,,,,,KOTEK: Clustering Of The Enterprise Code.,db/series/faia/faia130.html#Gasienica-SamekSCS05,2005,,,
